"Bruno Caboclo","TOR","SF",81,218,21,2,"",1589640,9,40,14,2,4,0
"Cory Joseph","TOR","SG",75,193,25,5,"University of Texas at Austin",7330000,80,2003,740,48,251,94
"Delon Wright","TOR","PG",77,183,24,1,"University of Utah",1577280,27,446,150,10,39,42
"DeMar DeRozan","TOR","SG",79,221,27,7,"University of Southern California",26540100,74,2620,2020,33,688,545
"DeMarre Carroll","TOR","SF",80,215,30,7,"University of Missouri",14200000,72,1882,638,109,111,89
"Fred VanVleet","TOR","PG",72,195,22,0,"Wichita State University",543471,37,294,107,11,28,18
"Jakob Poeltl","TOR","C",84,248,21,0,"University of Utah",2703960,54,626,165,0,67,31
"Jonas Valanciunas","TOR","C",84,265,24,4,"",14382022,80,2066,959,1,390,176
"Kyle Lowry","TOR","PG",72,205,30,10,"Villanova University",1.2e+07,60,2244,1344,193,233,299
"Lucas Nogueira","TOR","C",84,241,24,2,"",1921320,57,1088,253,3,100,44
"Norman Powell","TOR","SG",76,215,23,1,"University of California, Los Angeles",874636,76,1368,636,56,171,126
"P.J. Tucker","TOR","SF",78,245,31,5,"University of Texas at Austin",5300000,24,609,139,24,28,11
"Pascal Siakam","TOR","PF",81,230,22,0,"New Mexico State University",1196040,55,859,229,1,102,22
"Patrick Patterson","TOR","PF",81,230,27,6,"University of Kentucky",6050000,65,1599,445,94,60,43
"Serge Ibaka","TOR","PF",82,235,27,7,"",12250000,23,712,327,41,87,30
